"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","player_stats$link[i]","Year"
"Pau Gasol",20.0958904109589,"Center and Power Forward","1999-00",14.8,1.5,3,0.2,0.8,1.3,2.3,0.544,0.9,1.7,1,1.7,2.6,0.5,0.4,0.5,0.4,1,4.2,385,3.7,7.4,0.6,1.9,3.2,5.5,2.2,4.1,2.3,4,6.4,1.1,0.9,1.2,1,2.5,10.2,26,"http://www.basketball-reference.com/players/g/gasolpa01.html",2000
"Pau Gasol",20.0958904109589,"Center and Power Forward","2000-01",24.2,4.6,8.1,0.5,1.4,4.1,6.7,0.604,2.8,4.5,1.5,3.8,5.3,0.8,1.2,1,1.5,1.9,12.6,870,6.9,12.1,0.8,2.1,6.1,10,4.2,6.7,2.3,5.7,7.9,1.1,1.8,1.5,2.3,2.9,18.8,36,"http://www.basketball-reference.com/players/g/gasolpa01.html",2001
"Raul Lopez",21.1287671232877,"Point Guard","1997-98",18,3,6,3,3,0,3,0.75,1,2,0,2,2,4,1,0,0,2,10,18,6,12,6,6,0,6,2,4,0,4,4,8,2,0,0,4,20,1,"http://www.basketball-reference.com/players/l/lopezra01.html",2098
"Raul Lopez",21.1287671232877,"Point Guard","1998-99",14.7,1.3,3.3,0.4,0.9,0.9,2.4,0.442,1.4,1.9,0.2,1,1.2,1.6,0.8,0,1.1,1.8,4.4,500,3.2,8.1,0.9,2.2,2.3,6,3.5,4.7,0.6,2.4,3,3.9,1.9,0,2.7,4.4,10.7,34,"http://www.basketball-reference.com/players/l/lopezra01.html",2099
"Raul Lopez",21.1287671232877,"Point Guard","1999-00",23.7,3.6,7.7,0.9,2.5,2.7,5.2,0.533,1.9,2.3,0.3,1.3,1.6,2.8,1.2,0,1.3,2.4,10.1,757,5.5,11.7,1.4,3.8,4.1,7.9,2.9,3.5,0.4,2,2.4,4.3,1.9,0,2,3.7,15.4,32,"http://www.basketball-reference.com/players/l/lopezra01.html",2000
"Raul Lopez",21.1287671232877,"Point Guard","2000-01",21.1,2.4,5.2,1.1,2.6,1.3,2.6,0.564,1.5,2,0.3,1.3,1.6,2.7,1.2,0,1.7,2.4,7.3,929,4.1,8.8,1.8,4.4,2.2,4.4,2.6,3.3,0.6,2.2,2.8,4.6,2.1,0,2.9,4.1,12.5,44,"http://www.basketball-reference.com/players/l/lopezra01.html",2001
"Raul Lopez",21.1287671232877,"Point Guard","2001-02",20.6,2.7,6.7,0.7,2.7,2,4,0.454,1.8,2.2,0.5,2,2.5,3,1.7,0,1.8,2.2,7.8,268,4.7,11.7,1.2,4.7,3.5,7,3.1,3.8,0.9,3.5,4.4,5.2,3,0,3.2,3.9,13.7,13,"http://www.basketball-reference.com/players/l/lopezra01.html",2002
"Raul Lopez",21.1287671232877,"Point Guard","2005-06",23.7,3.4,6.7,1.2,2.6,2.2,4,0.602,1.8,2.4,0.4,1.2,1.6,2.8,1.2,0,2,3.1,9.9,782,5.2,10.1,1.8,4,3.4,6.1,2.8,3.6,0.6,1.9,2.5,4.3,1.9,0,3,4.7,15,33,"http://www.basketball-reference.com/players/l/lopezra01.html",2006
"Raul Lopez",21.1287671232877,"Point Guard","2006-07",21.5,1.8,4.1,0.9,2.2,0.9,1.9,0.563,1.4,1.7,0.6,1.5,2.1,3.6,1,0,1.8,2,6,1009,3.1,6.9,1.6,3.7,1.5,3.1,2.4,2.9,1,2.5,3.6,6,1.6,0,3,3.4,10.1,47,"http://www.basketball-reference.com/players/l/lopezra01.html",2007
"Raul Lopez",21.1287671232877,"Point Guard","2007-08",20.4,2.3,4.8,1.1,2.6,1.2,2.2,0.602,1.8,1.9,0.4,1.1,1.5,2.6,1.1,0,1.7,2.1,7.5,1041,4.1,8.4,1.9,4.6,2.2,3.8,3.1,3.4,0.6,2,2.6,4.6,1.9,0,2.9,3.7,13.3,51,"http://www.basketball-reference.com/players/l/lopezra01.html",2008
