"Player","VORP","G","MP","draftYear","link","Amateur"
"Gary Harris",1.2,146,3573,2014,"http://www.basketball-reference.com/players/h/harriga01.html","College"
"Bruno Caboclo",-0.2,20,87,2014,"http://www.basketball-reference.com/players/c/cabocbr01.html",""
"Mitch McGary",-0.2,52,557,2014,"http://www.basketball-reference.com/players/m/mcgarmi01.html","College"
"Jordan Adams",0.1,32,263,2014,"http://www.basketball-reference.com/players/a/adamsjo01.html","College"
"Rodney Hood",2.2,160,4506,2014,"http://www.basketball-reference.com/players/h/hoodro01.html","College"
"Shabazz Napier",-0.6,130,1809,2014,"http://www.basketball-reference.com/players/n/napiesh01.html","College"
"Clint Capela",1.2,117,2247,2014,"http://www.basketball-reference.com/players/c/capelca01.html","Euro"
"P.J. Hairston",-1,111,2000,2014,"http://www.basketball-reference.com/players/h/hairspj02.html","College"
"Bogdan Bogdanovic",NA,NA,NA,2014,"http://www.basketball-reference.com/players/b/bogdabo01.html","Euro"
"C.J. Wilcox",-0.2,59,342,2014,"http://www.basketball-reference.com/players/w/wilcocj01.html","College"
"Josh Huestis",-0.1,5,55,2014,"http://www.basketball-reference.com/players/h/huestjo01.html","College"
"Kyle Anderson",1.5,142,2018,2014,"http://www.basketball-reference.com/players/a/anderky01.html","College"
"Damien Inglis",-0.2,20,156,2014,"http://www.basketball-reference.com/players/i/inglida01.html","Euro"
"K.J. McDaniels",-0.6,119,1772,2014,"http://www.basketball-reference.com/players/m/mcdankj01.html","College"
"Joe Harris",-0.5,87,1234,2014,"http://www.basketball-reference.com/players/h/harrijo01.html","College"
"Cleanthony Early",-0.8,56,801,2014,"http://www.basketball-reference.com/players/e/earlycl01.html","College"
"Jarnell Stokes",0.1,28,151,2014,"http://www.basketball-reference.com/players/s/stokeja01.html","College"
"Johnny O'Bryant III",-1.5,100,1225,2014,"http://www.basketball-reference.com/players/o/obryajo01.html","College"
"DeAndre Daniels",NA,NA,NA,2014,"http://www.basketball-reference.com/players/d/daniede01.html","College"
"Spencer Dinwiddie",-0.5,56,750,2014,"http://www.basketball-reference.com/players/d/dinwisp01.html","College"
"Jerami Grant",-0.2,177,4194,2014,"http://www.basketball-reference.com/players/g/grantje01.html","College"
"Glenn Robinson III",-0.5,114,1532,2014,"http://www.basketball-reference.com/players/r/robingl02.html","College"
"Nikola Jokic",4.6,112,2517,2014,"http://www.basketball-reference.com/players/j/jokicni01.html",""
"Nick Johnson",-0.3,28,262,2014,"http://www.basketball-reference.com/players/j/johnsni01.html","College"
"Walter Tavares",0,12,77,2014,"http://www.basketball-reference.com/players/t/tavarwa01.html","Euro"
"Markel Brown",-0.3,109,1763,2014,"http://www.basketball-reference.com/players/b/brownma02.html","College"
"Dwight Powell",1.4,133,1962,2014,"http://www.basketball-reference.com/players/p/poweldw01.html","College"
"Jordan Clarkson",0.9,176,5080,2014,"http://www.basketball-reference.com/players/c/clarkjo01.html","College"
"Russ Smith",-0.1,27,131,2014,"http://www.basketball-reference.com/players/s/smithru01.html","College"
"Lamar Patterson",-0.3,35,395,2014,"http://www.basketball-reference.com/players/p/pattela01.html","College"
"Cameron Bairstow",-0.2,36,167,2014,"http://www.basketball-reference.com/players/b/bairsca01.html","College"
"Alec Brown",NA,NA,NA,2014,"http://www.basketball-reference.com/players/b/brownal01.html","College"
"Thanasis Antetokounmpo",0,2,6,2014,"http://www.basketball-reference.com/players/a/antetth01.html",""
"Vasilije Micic",NA,NA,NA,2014,"http://www.basketball-reference.com/players/m/micicva01.html","Euro"
"Alessandro Gentile",NA,NA,NA,2014,"http://www.basketball-reference.com/players/g/gential01.html","Euro"
"Nemanja Dangubic",NA,NA,NA,2014,"http://www.basketball-reference.com/players/d/dangune01.html","Euro"
"Semaj Christon",-0.6,35,543,2014,"http://www.basketball-reference.com/players/c/chrisse01.html","College"
"Roy Devyn Marble",-0.3,44,457,2014,"http://www.basketball-reference.com/players/m/marblde01.html","College"
"Louis Labeyrie",NA,NA,NA,2014,"http://www.basketball-reference.com/players/l/labeylo01.html","Euro"
"Jordan McRae",-0.3,44,459,2014,"http://www.basketball-reference.com/players/m/mcraejo01.html","College"
"Xavier Thames",NA,NA,NA,2014,"http://www.basketball-reference.com/players/t/thamexa01.html","College"
