"PlayerId","Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","games","school_link","conf_link","Year"
2093,"Hamidou Diallo",18.5,"SG","2017-18",28.7,5,11.1,4.1,8.6,0.9,2.5,2.9,4.6,1.1,3.5,4.5,1.7,1,0.2,1.6,2.8,13.8,NA,8.02,7,13.86,5.7,10.8,1.2,3.06,4,5.76,5.67,2.16,1.26,0.27,1.98,3.9,19.2,9.8,21.7,0.452,8.1,16.8,0.479,1.7,4.8,0.357,5.6,9,0.628,8.9,3.3,2,0.5,3.1,5.5,27,NA,109.1,100.4,488,17,0.52,0.492,0.223,0.415,217,4.5,12.5,8.8,11.3,2,0.9,10.7,24.8,NA,0.9,0.8,1.7,0.142,NA,2.3,0.9,3.2,17,"http://www.sports-reference.com/cbb/schools/kentucky/2018.html","http://www.sports-reference.com/cbb/conferences/sec/2018.html",2018
2094,"Trevon Duval",19.4,"SG","2017-18",29.7,4.8,10.2,4.1,7.4,0.6,2.8,2.1,3.2,0.4,1.5,1.9,6.2,1.8,0.2,2.4,2.8,12.2,NA,6.42,6.4,12.33,5.5,8.91,0.9,3.42,2.8,3.96,2.34,7.56,2.16,0.18,2.88,3.7,16.5,8.7,18.6,0.468,7.5,13.5,0.56,1.2,5.2,0.229,3.8,5.9,0.636,3.6,11.4,3.2,0.3,4.3,5.1,22.4,NA,115.9,103.9,505,17.9,0.522,0.5,0.277,0.318,238,1.6,5.2,3.5,30.5,3.2,0.6,16.7,21.3,NA,1.3,0.7,2,0.155,NA,3.8,0.8,4.6,17,"http://www.sports-reference.com/cbb/schools/duke/2018.html","http://www.sports-reference.com/cbb/conferences/acc/2018.html",2018
2095,"Shai Gilgeous-Alexander",19.7,"C","2017-18",30.6,4.2,8.4,3.6,7.2,0.6,1.2,3.3,4,0.9,2.8,3.7,4.4,2.1,0.4,2.5,1.5,12.4,NA,8.02,5.5,9.9,4.8,8.46,0.8,1.44,4.3,4.68,4.32,5.22,2.43,0.45,2.97,1.9,16.2,7.8,15.5,0.503,6.7,13.2,0.508,1.1,2.3,0.476,6.1,7.4,0.824,6.8,8.1,3.8,0.8,4.6,2.7,22.7,NA,116.6,97.7,520,21,0.599,0.538,0.147,0.476,225,3.5,9.5,6.8,25.6,3.8,1.5,19.7,20.2,NA,1.3,1,2.3,0.176,NA,5,3.6,8.6,17,"http://www.sports-reference.com/cbb/schools/kentucky/2018.html","http://www.sports-reference.com/cbb/conferences/sec/2018.html",2018
2096,"Shake Milton",19.4,"PG","2015-16",32.7,3.8,7.9,2,3.8,1.7,4.1,1.2,1.7,0.3,2.7,3,2.7,0.8,0.3,1.5,1.4,10.5,35,35,4.6,8.73,2.5,4.23,2.1,4.5,1.5,1.89,3.24,2.97,0.9,0.27,1.71,1.8,12.9,7,14.6,0.477,3.8,7.1,0.53,3.2,7.5,0.426,2.3,3.2,0.725,5.5,5.1,1.5,0.5,2.8,2.7,19.5,NA,120.8,101.4,980,14.6,0.603,0.586,0.515,0.215,291,1.1,8.9,5.3,14,1.5,1,15,15.8,NA,2.1,1.5,3.5,0.144,NA,4.5,1.2,5.7,30,"http://www.sports-reference.com/cbb/schools/southern-methodist/2016.html","http://www.sports-reference.com/cbb/conferences/aac/2016.html",2016
2096,"Shake Milton",19.4,"PG","2016-17",9.9,0.437,2,0.455,2.3,0.423,2,0.758,0.4,4.1,4.5,1.3,0.3,1.8,1.5,13,18,18,36.3,5.4,4.9,10.08,2.3,4.5,2.6,5.67,2.2,2.61,4.14,4.59,1.26,0.36,1.8,1.7,14.7,7.7,17.6,0.437,3.5,7.8,0.455,4.2,9.8,0.423,3.5,4.6,0.758,7.3,8.1,2.2,0.6,3.2,2.7,23.1,NA,122.4,96.6,1239,19.1,0.582,0.555,0.557,0.261,459,1.5,11.7,6.9,23.9,2.2,1.2,13.9,19.4,NA,3.5,2.4,5.9,0.192,NA,5.6,2.3,7.9,35.4,"http://www.sports-reference.com/cbb/schools/southern-methodist/2017.html","http://www.sports-reference.com/cbb/conferences/aac/2017.html",2017
2096,"Shake Milton",19.4,"PG","2017-18",3,6.4,0.466,5.9,0.415,5.1,0.813,3.9,4.6,1.6,0.7,2.3,1.8,17.4,NA,4.56,NA,4.45,NA,2.06,6,12.24,3.3,6.39,2.7,5.85,4.5,5.04,4.59,4.5,1.62,0.72,2.34,2,19.2,9.1,20.7,0.441,5,10.8,0.466,4.1,9.9,0.415,6.9,8.5,0.813,7.7,7.6,2.7,1.2,3.9,3,29.3,NA,121.4,93.8,653,22.8,0.592,0.541,0.477,0.41,307,2.4,12.7,7.6,24.8,2.7,2.7,13.7,24.4,NA,2.2,1.5,3.7,0.226,NA,5.7,2.4,8.1,12.3,"http://www.sports-reference.com/cbb/schools/southern-methodist/2018.html","http://www.sports-reference.com/cbb/conferences/aac/2018.html",2018
2097,"De'Anthony Melton",19.5,"PG/SG","2016-17",27,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3,1.4,3.3,4.7,3.5,1.9,1,1.8,2.3,8.3,NA,6.4,4.2,8.55,3.3,5.85,0.9,2.7,3.2,4.05,6.3,4.59,2.52,1.35,2.34,3.3,12.3,5.9,13.6,0.437,4.7,9.2,0.51,1.2,4.3,0.284,4.5,6.4,0.706,10,7.3,4,2.2,3.8,4.8,17.6,NA,110.8,100.5,972,19.2,0.53,0.483,0.32,0.472,351,6,13.6,9.9,22.5,4,3.9,18.5,17.7,NA,1.7,1.5,3.2,0.133,NA,3,5.3,8.3,36,"http://www.sports-reference.com/cbb/schools/southern-california/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
2098,"Greyson Allen",21.2,"PG/SG","2014-15",9.2,1.3,3,0.8,1.5,0.5,1.5,1.3,1.5,0.3,0.7,1,0.4,0.3,0.1,0.4,1.2,4.4,36,35,5.6,11.88,3.4,6.03,2.2,5.85,5.6,5.94,3.87,1.53,1.08,0.54,1.71,5.2,19,8.5,20,0.425,5.1,10.2,0.5,3.4,9.8,0.346,8.5,10,0.849,6.6,2.6,1.9,0.9,2.8,7.9,28.8,NA,122.2,100.3,322,19.3,0.583,0.509,0.491,0.5,138,3.5,8.9,6.4,7.8,1.9,1.5,10.3,23.5,NA,1.1,0.5,1.5,0.192,NA,5.1,0.5,5.6,35,"http://www.sports-reference.com/cbb/schools/duke/2015.html","http://www.sports-reference.com/cbb/conferences/acc/2015.html",2015
2098,"Greyson Allen",21.2,"PG/SG","2015-16",14.3,0.466,4.1,0.502,2.5,0.417,5.9,0.837,0.7,4.6,3.5,1.3,0.1,2,2.7,21.6,34,25,29.6,4.1,7.3,14.04,4.5,8.1,2.7,5.94,6.4,6.93,4.5,3.51,1.26,0.18,1.98,3,23.7,10.6,22.8,0.466,6.6,13.2,0.502,4,9.6,0.417,9.4,11.2,0.837,7.3,5.6,2.1,0.2,3.2,4.4,34.6,NA,128.5,107.6,1317,26.1,0.616,0.554,0.421,0.491,733,2,11.7,6.9,19.4,2.1,0.3,10.2,26.8,NA,5.9,1.2,7.2,0.217,NA,9,0.7,9.7,36.6,"http://www.sports-reference.com/cbb/schools/duke/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
2098,"Greyson Allen",21.2,"PG/SG","2016-17",1.8,4,0.444,6.5,0.365,4.7,0.811,3.1,3.7,0.8,0.1,2.2,2.3,14.5,17,17,32.3,5.2,11.5,0.449,5.6,12.78,2.4,4.86,3.2,7.92,5.1,5.67,4.5,4.23,0.9,0.09,2.61,3.1,19.5,8,20.3,0.395,3.4,7.7,0.444,4.6,12.6,0.365,7.3,9,0.811,7.2,6.8,1.5,0.1,4.2,4.4,28,NA,116.7,104.8,1007,19.3,0.569,0.508,0.622,0.445,499,2.7,11.3,7.2,21.5,1.5,0.2,14.6,25.1,NA,3,1.2,4.2,0.166,NA,6.5,0.5,7,10.5,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
