"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"Tyler Lydon",21.1,"Forward","2016-17",36.1,4.4,9.4,3,5.7,1.4,3.7,2.9,3.4,8.6,2.1,1,1.4,1.7,2.5,13.2,4.41,10.4,2.97,6.4,1.44,4.1,2.88,3.8,8.64,2.07,0.99,1.44,1.71,2.43,14.6,7.3,15.4,0.472,4.9,9.4,0.523,2.4,6,0.392,4.7,5.6,0.836,14.1,3.4,1.7,2.4,2.8,4,21.5,121.3,102.7,1227,20.3,0.597,0.548,0.391,0.363,446,7.7,19.2,13.7,10.8,1.7,4.7,13.6,18,3.1,1.7,4.8,0.156,4.7,4.2,8.9,34,"http://www.sports-reference.com/cbb/schools/syracuse/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Robert Williams",19.6,"Forward","2016-17",25.8,4.9,8.9,4.9,8.3,0.1,0.6,1.9,3.2,8.1,1.4,0.7,2.5,1.7,1.8,11.8,6.84,13.7,6.75,12.8,0.09,0.9,2.61,5,11.34,1.98,0.9,3.42,2.43,2.52,18.3,11.4,20.6,0.556,11.3,19.2,0.588,0.1,1.3,0.111,4.4,7.5,0.59,18.8,3.3,1.6,5.7,4,4.3,27.4,113.5,95.7,801,27.2,0.569,0.56,0.065,0.364,350,13.6,21.2,17.6,12,1.6,10.5,14.3,23.6,2,1.6,3.6,0.18,2.6,7.2,9.8,31,"http://www.sports-reference.com/cbb/schools/texas-am/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
"Tony Bradley",19.3,"Forward","2016-17",14.6,2.7,4.7,2.7,4.7,0,0,1.7,2.8,5.1,0.6,0.3,0.6,0.7,1.8,7.1,6.66,12.9,6.66,12.9,0,0,4.23,7.6,12.69,1.53,0.63,1.44,1.62,4.5,19.5,10.1,17.7,0.573,10.1,17.7,0.573,0,0,NA,6.5,10.4,0.619,19.4,2.3,1,2.2,2.5,6.9,26.8,129.1,97.6,553,26.1,0.59,0.573,0,0.59,270,18.7,18.9,18.8,7.2,1,4.4,9.9,20.7,2.1,1,3.1,0.225,5.8,4,9.8,38,"http://www.sports-reference.com/cbb/schools/north-carolina/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Jarrett Allen",19,"Forward","2016-17",32.2,5.4,9.6,5.4,9.4,0,0.2,2.5,4.5,8.5,0.8,0.6,1.5,2.5,2.1,13.4,6.03,11.9,6.03,11.6,0,0.3,2.88,5.6,9.45,0.9,0.63,1.71,2.88,2.34,16.7,9.8,17.4,0.566,9.8,17,0.579,0,0.4,0,4.6,8.2,0.564,15.3,1.4,1,2.8,4.6,3.7,24.3,104.8,99.9,1061,20.2,0.571,0.566,0.022,0.472,427,10.9,18.9,15,5.5,1,5,17.8,22.6,1.5,1.7,3.3,0.123,0.8,4.6,5.5,33,"http://www.sports-reference.com/cbb/schools/texas/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Edmond Sumner",21.4,"Guard","2014-15",7.2,0.3,1.7,0.3,1.2,0,0.5,0.7,1,0.8,1,0.3,0,0.8,1.5,1.3,1.71,9.3,1.71,6.5,0,2.8,3.33,5.6,4.23,5.04,1.71,0,4.23,7.56,7.4,2.8,14.2,0.2,2.8,9.9,0.286,0,4.3,0,5.7,8.5,0.667,7.1,8.5,2.8,0,7.1,12.8,11.3,71.7,102.3,43,1.8,0.311,0.2,0.3,0.6,12,6,8.3,7.2,23.7,2.8,0,28,22.1,-0.1,0.1,0,-0.031,-4.6,1.5,-3.2,6,"http://www.sports-reference.com/cbb/schools/xavier/2015.html","http://www.sports-reference.com/cbb/conferences/big-east/2015.html",2015
"Edmond Sumner",21.4,"Guard","2015-16",25.9,3.3,8.3,2.5,5.6,0.8,2.7,3.6,5,3.4,3.6,1.3,0.2,2.1,2.3,11,4.59,12.8,3.42,8.7,1.08,4.1,5.04,7.7,4.77,5.04,1.71,0.27,2.88,3.24,17,7,17.7,0.397,5.3,12,0.443,1.7,5.7,0.301,7.7,10.6,0.727,7.3,7.7,2.7,0.4,4.5,5,23.5,107.6,98.4,802,16.6,0.516,0.446,0.323,0.599,357,2.3,11.7,7.1,25.2,2.7,0.9,16.4,23.2,1.4,1.4,2.9,0.142,3.1,3.3,6.4,31,"http://www.sports-reference.com/cbb/schools/xavier/2016.html","http://www.sports-reference.com/cbb/conferences/big-east/2016.html",2016
"Edmond Sumner",21.4,"Guard","2016-17",31.7,4.6,9.6,4,7.6,0.5,2,4.6,6.2,4.2,4.8,1.2,0.7,2.6,2.3,14.3,5.22,12.1,4.59,9.6,0.63,2.5,5.22,7.9,4.77,5.4,1.35,0.81,2.97,2.61,18.1,8.5,17.7,0.479,7.5,14,0.533,1,3.7,0.273,8.5,11.5,0.737,7.7,8.8,2.3,1.3,4.9,4.3,26.4,113.8,104,697,21.2,0.57,0.507,0.209,0.649,327,1.8,13.6,7.7,30.2,2.3,2.7,17.4,24,1.8,0.9,2.7,0.155,4.3,3.6,7.9,22,"http://www.sports-reference.com/cbb/schools/xavier/2017.html","http://www.sports-reference.com/cbb/conferences/big-east/2017.html",2017
"Josh Hart",22.2,"Guard","2013-14",21.4,2.6,5.1,1.8,2.7,0.8,2.4,1.9,2.8,4.4,0.9,0.6,0.3,0.6,2.4,7.8,4.32,9.6,3.06,5,1.26,4.6,3.24,5.3,7.47,1.44,0.9,0.45,0.9,4.14,14.6,7.1,14.1,0.5,5,7.4,0.67,2.1,6.7,0.313,5.3,7.8,0.677,12.3,2.4,1.5,0.7,1.5,6.7,21.5,131.6,99.4,728,18.6,0.603,0.575,0.477,0.552,263,10.2,13.7,12,8.1,1.5,1.4,8,16.7,2.2,1.3,3.5,0.193,5.2,2.7,7.9,34,"http://www.sports-reference.com/cbb/schools/villanova/2014.html","http://www.sports-reference.com/cbb/conferences/big-east/2014.html",2014
"Josh Hart",22.2,"Guard","2014-15",25.5,3.4,6.7,2,3.6,1.4,3.1,1.8,2.7,4.5,1.5,1.1,0.4,1.1,2.1,10.1,4.86,10.5,2.79,5.6,2.07,4.9,2.52,4.2,6.3,2.07,1.53,0.54,1.53,2.97,15.9,8.3,16.2,0.515,4.8,8.7,0.558,3.5,7.5,0.464,4.4,6.5,0.67,10.8,3.6,2.7,0.9,2.6,5.1,24.5,128.8,94.5,917,22.2,0.636,0.622,0.465,0.402,350,9,12.1,10.6,11.6,2.7,1.7,11.7,18.9,3.2,1.9,5,0.219,7.5,4.1,11.6,36,"http://www.sports-reference.com/cbb/schools/villanova/2015.html","http://www.sports-reference.com/cbb/conferences/big-east/2015.html",2015
"Josh Hart",22.2,"Guard","2015-16",31.4,5.8,11.2,4.4,7.4,1.4,3.9,2.6,3.4,6.8,1.9,1.2,0.3,1.7,2.2,15.5,6.57,14.3,5.04,9.4,1.62,4.9,2.97,4.4,7.74,2.25,1.35,0.27,1.89,2.52,19.7,10.9,21.2,0.513,8.3,13.9,0.595,2.6,7.3,0.357,4.9,6.5,0.752,12.8,3.6,2.2,0.5,3.1,4.1,29.3,120,94.3,1255,23.4,0.602,0.575,0.344,0.306,585,7.6,17.2,12.8,12.4,2.2,0.9,11.4,24.3,4,2.7,6.7,0.214,6.2,3.8,10,40,"http://www.sports-reference.com/cbb/schools/villanova/2016.html","http://www.sports-reference.com/cbb/conferences/big-east/2016.html",2016
"Josh Hart",22.2,"Guard","2016-17",33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,6.4,2.9,1.5,0.3,2,2.3,18.7,7.11,15.5,4.86,9.4,2.25,6.1,3.87,5.7,6.93,3.24,1.62,0.27,2.16,2.43,22.6,12,23.6,0.51,8.3,14.3,0.579,3.8,9.3,0.404,6.5,8.7,0.747,11.7,5.4,2.8,0.5,3.6,4.1,34.3,125,94.6,1193,28.1,0.619,0.59,0.395,0.367,648,5.9,17.5,12.2,18.8,2.8,1,11.5,27.8,5.1,2.6,7.7,0.257,8.2,4,12.1,36,"http://www.sports-reference.com/cbb/schools/villanova/2017.html","http://www.sports-reference.com/cbb/conferences/big-east/2017.html",2017
"Alec Peters",22.1,"Forward","2013-14",29.6,4.5,9.2,2.9,4.9,1.7,4.4,2,2.6,4.8,1.4,0.9,0.1,1.9,2.2,12.7,5.49,12.5,3.51,6.6,2.07,5.9,2.43,3.5,5.85,1.71,1.08,0.18,2.34,2.7,17.2,9.2,18.8,0.49,5.8,9.9,0.588,3.4,8.9,0.383,4.1,5.3,0.773,9.8,2.9,1.7,0.3,3.9,4.5,26,114.4,102.6,1006,17.9,0.608,0.581,0.475,0.28,389,4.4,14.1,9.8,11.1,1.7,0.5,15.4,22,2.2,1.5,3.6,0.145,2.4,-0.7,1.8,34,"http://www.sports-reference.com/cbb/schools/valparaiso/2014.html","http://www.sports-reference.com/cbb/conferences/horizon/2014.html",2014
"Alec Peters",22.1,"Forward","2014-15",30.6,5.7,11.7,3.3,6.5,2.4,5.2,2.9,3.4,6.7,1.2,0.7,0.3,1.4,2,16.8,6.75,15.4,3.87,8.5,2.88,6.9,3.33,4.5,7.83,1.44,0.81,0.36,1.71,2.34,21.9,11.8,24.1,0.489,6.8,13.3,0.507,5,10.7,0.466,5.9,7.1,0.829,13.7,2.5,1.4,0.7,3,4,34.4,128.4,94.2,1039,27.1,0.627,0.593,0.446,0.293,501,7.5,17.8,12.9,9.5,1.4,1.3,9.7,25.7,4.6,2.1,6.7,0.257,6.6,-0.1,6.5,34,"http://www.sports-reference.com/cbb/schools/valparaiso/2015.html","http://www.sports-reference.com/cbb/conferences/horizon/2015.html",2015
