"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"Sviatoslav Mykhailiuk",19.9,"Guard","2016-17",27.3,3.4,7.8,1.5,2.9,1.9,4.9,0.9,1.3,3,1.3,0.9,0.3,1.1,2,9.8,4.5,11.4,1.98,4.2,2.52,7.2,1.17,1.9,3.96,1.71,1.17,0.36,1.44,2.61,14.3,7.1,15.9,0.443,3.1,5.9,0.519,4,10,0.398,1.9,2.7,0.702,6.2,2.6,1.8,0.5,2.3,4,20,116.7,104.3,984,14.1,0.581,0.568,0.629,0.168,317,3.4,8.6,6.1,7.7,1.8,0.9,11.7,16.7,1.9,1.2,3.1,0.124,5.1,2,7.1,36,"http://www.sports-reference.com/cbb/schools/kansas/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Monte Morris",21.9,"Guard","2013-14",28.1,2.1,5,1.4,3.1,0.8,1.9,1.7,2,2.6,3.7,1.3,0.2,0.8,1.7,6.8,2.7,7.1,1.71,4.3,0.99,2.7,2.16,2.8,3.24,4.77,1.62,0.27,0.99,2.16,9.6,4.2,9.9,0.43,2.7,6.1,0.445,1.5,3.8,0.406,3.4,4,0.847,5.1,7.4,2.5,0.4,1.5,3.4,13.4,128,104.9,1013,14.5,0.57,0.508,0.385,0.402,287,2,7.6,4.9,20.4,2.5,0.7,11.6,11.6,2.1,1.3,3.4,0.134,3.6,2.9,6.6,36,"http://www.sports-reference.com/cbb/schools/iowa-state/2014.html","http://www.sports-reference.com/cbb/conferences/big-12/2014.html",2014
"Monte Morris",21.9,"Guard","2014-15",33.9,4.6,9,3.6,6.6,0.9,2.4,1.9,2.5,3.4,5.2,1.9,0.4,1.1,1.3,11.9,4.86,10.6,3.87,7.8,0.99,2.8,1.98,2.9,3.69,5.49,1.98,0.45,1.17,1.44,14.1,7.7,15.2,0.507,6.1,11.2,0.547,1.6,4,0.395,3.2,4.2,0.753,5.8,8.7,3.2,0.7,1.9,2.2,20.2,128.4,100.1,1153,21.5,0.586,0.559,0.265,0.278,449,2.5,8.6,5.7,27.4,3.2,1.3,9.9,16.9,3.7,1.7,5.5,0.189,6.7,3.1,9.8,34,"http://www.sports-reference.com/cbb/schools/iowa-state/2015.html","http://www.sports-reference.com/cbb/conferences/big-12/2015.html",2015
"Monte Morris",21.9,"Guard","2015-16",38,5.4,11,4.3,8,1.1,3,2,2.7,3.9,6.9,1.8,0.3,1.6,1.6,13.8,5.04,11.6,4.05,8.4,0.99,3.2,1.89,2.9,3.69,6.48,1.71,0.27,1.53,1.53,14.5,7.9,16.2,0.487,6.3,11.8,0.536,1.6,4.5,0.358,2.9,4,0.729,5.8,10.1,2.6,0.4,2.4,2.3,20.3,123.8,106,1331,20.4,0.561,0.536,0.275,0.249,576,2.4,8.9,5.9,28.9,2.6,0.7,11.7,18.4,4,1.4,5.5,0.165,5.8,1.6,7.5,35,"http://www.sports-reference.com/cbb/schools/iowa-state/2016.html","http://www.sports-reference.com/cbb/conferences/big-12/2016.html",2016
"Monte Morris",21.9,"Guard","2016-17",35.3,6.2,13.3,4.6,9.2,1.5,4.1,2.5,3.2,4.8,6.2,1.5,0.3,1.2,1.5,16.4,6.3,15,4.68,10.4,1.53,4.6,2.61,3.6,4.95,6.3,1.53,0.27,1.26,1.44,18.6,9.9,21.3,0.465,7.4,14.8,0.503,2.5,6.6,0.378,4.1,5.1,0.802,7.7,9.9,2.4,0.5,1.9,2.3,26.3,126.1,103,1237,24.7,0.555,0.523,0.308,0.239,645,3.7,11.3,7.6,32,2.4,0.8,7.5,22.8,4.8,1.7,6.5,0.21,7.8,2.9,10.7,35,"http://www.sports-reference.com/cbb/schools/iowa-state/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Mikal Bridges",20.7,"Guard-Forward","2015-16",20.3,2.2,4.1,1.6,2.2,0.6,1.9,1.5,1.9,3.2,0.9,1.1,0.7,0.6,2.2,6.4,3.78,8.1,2.79,4.3,0.99,3.8,2.61,3.7,5.67,1.53,1.89,1.17,1.08,3.96,12.5,6.3,12.1,0.521,4.6,6.4,0.716,1.7,5.6,0.299,4.3,5.5,0.787,9.4,2.6,3.1,1.9,1.8,6.5,18.6,128.7,92.8,813,18.4,0.633,0.591,0.467,0.455,247,5.7,12.5,9.3,7.5,3.1,3.6,10.7,14.5,2,1.9,3.9,0.193,5.2,6.3,11.5,40,"http://www.sports-reference.com/cbb/schools/villanova/2016.html","http://www.sports-reference.com/cbb/conferences/big-east/2016.html",2016
"Mikal Bridges",20.7,"Guard-Forward","2016-17",29.8,3.6,6.5,2.3,3.4,1.2,3.1,1.4,1.6,4.6,2,1.7,0.9,1.3,2.3,9.8,4.32,8.7,2.79,4.5,1.44,4.2,1.71,2.1,5.58,2.34,2.07,1.08,1.53,2.79,13.1,7.3,13.2,0.549,4.8,6.9,0.694,2.5,6.4,0.393,2.9,3.2,0.911,9.4,4,3.5,1.8,2.6,4.7,19.9,130.4,93.3,1073,21,0.676,0.644,0.481,0.24,349,5.2,13.5,9.7,12,3.5,3.5,15.1,15.3,3.1,2.4,5.5,0.205,6.5,6.9,13.4,36,"http://www.sports-reference.com/cbb/schools/villanova/2017.html","http://www.sports-reference.com/cbb/conferences/big-east/2017.html",2017
"Zach Collins",19.6,"Forward","2016-17",17.3,3.5,5.3,3.2,4.8,0.3,0.5,2.8,3.8,5.9,0.4,0.5,1.8,1.5,2.7,10,7.2,12.3,6.66,11.1,0.54,1.2,5.85,8.8,12.24,0.9,0.99,3.69,3.24,5.58,23.2,11.3,17.3,0.652,10.5,15.6,0.672,0.8,1.8,0.476,9.2,12.4,0.743,19.2,1.3,1.5,5.8,5,8.8,32.6,125.1,79.4,673,30.9,0.703,0.676,0.101,0.715,360,12,23.2,18.3,4.4,1.5,9.8,17.8,24.8,2.6,2.4,5,0.298,4,7.5,11.5,39,"http://www.sports-reference.com/cbb/schools/gonzaga/2017.html","http://www.sports-reference.com/cbb/conferences/wcc/2017.html",2017
"Dwayne Bacon",21.7,"Guard","2015-16",28.8,5.8,13,4.9,9.6,0.9,3.4,3.2,4.5,5.8,1.5,1,0,2.2,2.1,15.8,7.2,18,6.03,13.4,1.17,4.7,4.05,6.3,7.2,1.8,1.17,0,2.7,2.7,21.9,11.2,25.1,0.447,9.4,18.6,0.505,1.8,6.5,0.281,6.3,8.8,0.714,11.2,2.8,1.9,0.1,4.2,4.2,30.5,105.2,104.7,979,19,0.521,0.483,0.259,0.349,496,5.4,17.4,11.5,10.4,1.9,0.1,12.6,28.8,1.7,1.2,2.9,0.119,1.7,0.1,1.9,34,"http://www.sports-reference.com/cbb/schools/florida-state/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"Dwayne Bacon",21.7,"Guard","2016-17",28.8,6.3,14,4.7,9.1,1.6,4.9,3,3.9,4.2,1.7,1,0.1,2,1.6,17.2,7.92,19.4,5.85,12.6,2.07,6.8,3.69,5.5,5.22,2.16,1.26,0.18,2.52,1.98,23.9,12.1,26.7,0.452,9,17.4,0.516,3.1,9.3,0.333,5.7,7.5,0.754,8,3.3,1.9,0.2,3.9,3,32.9,110.3,103.4,1008,20.8,0.544,0.51,0.35,0.282,545,4,12,8.1,11.6,1.9,0.4,11.4,29.4,2.5,1.3,3.8,0.151,3.8,0.5,4.3,35,"http://www.sports-reference.com/cbb/schools/florida-state/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"PJ Dozier",20.5,"Guard","2015-16",19,2.7,7,2.4,5.6,0.3,1.4,1.1,2,3,2.1,1,0.4,2.6,2.4,6.7,5.04,14.8,4.5,11.9,0.54,2.9,2.07,4.2,5.58,3.87,1.89,0.72,5.04,4.59,14.2,7.9,20.7,0.381,7,16.6,0.422,0.9,4.1,0.213,3.2,5.9,0.544,8.7,6.1,2.9,1.1,7.8,7.2,19.8,80,96.2,647,8.4,0.422,0.402,0.197,0.285,241,4.5,12.2,8.4,21.5,2.9,2.4,24.9,26.2,-0.9,1.3,0.4,0.023,-4.1,3.6,-0.5,34,"http://www.sports-reference.com/cbb/schools/south-carolina/2016.html","http://www.sports-reference.com/cbb/conferences/sec/2016.html",2016
"PJ Dozier",20.5,"Guard","2016-17",28.7,5.3,13,4.1,9.1,1.2,3.9,2.1,3.6,4.8,2.8,1.7,0.3,2.2,2.8,13.9,6.66,18.2,5.22,12.7,1.44,5.5,2.7,5,6.03,3.51,2.07,0.36,2.7,3.51,19.4,10.6,25.9,0.407,8.2,18.1,0.454,2.3,7.8,0.298,4.3,7.1,0.597,9.6,5.6,3.3,0.6,4.3,5.5,27.7,98.8,90.6,1033,17.5,0.472,0.452,0.301,0.275,488,4.1,15.3,9.5,22.8,3.3,1.1,12.8,28.7,1,2.6,3.6,0.139,2.2,4.9,7.2,36,"http://www.sports-reference.com/cbb/schools/south-carolina/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
"Devin Robinson",22.2,"Forward","2014-15",19,2.4,5.9,1.7,3.4,0.6,2.5,1.1,1.7,2.8,0.7,0.5,0.4,0.9,1.7,6.4,4.5,12.4,3.24,7.1,1.17,5.2,1.98,3.5,5.31,1.35,0.99,0.72,1.8,3.24,13.5,7.9,19.7,0.402,5.8,11.4,0.509,2.1,8.3,0.256,3.6,5.6,0.636,9.3,2.3,1.7,1.3,3.1,5.8,21.5,98,97.4,628,13.2,0.482,0.456,0.423,0.284,197,5.2,13.1,9.1,8.1,1.7,2.4,12.3,21.9,0.5,1.1,1.6,0.101,0.6,2.8,3.5,33,"http://www.sports-reference.com/cbb/schools/florida/2015.html","http://www.sports-reference.com/cbb/conferences/sec/2015.html",2015
"Devin Robinson",22.2,"Forward","2015-16",23.1,3.2,6.9,2.2,4,1,2.9,1.6,2.1,5.6,0.5,0.5,0.6,0.8,2.4,9,4.95,12,3.33,6.9,1.53,5.1,2.52,3.7,8.73,0.72,0.81,0.9,1.26,3.78,15.5,7.8,17.1,0.456,5.3,9.9,0.542,2.5,7.3,0.34,4,5.3,0.766,13.8,1.2,1.2,1.4,2,6,22.1,118.2,98.3,833,17.9,0.564,0.528,0.424,0.308,297,7.5,17.6,12.5,4,1.2,2.5,9.2,18.2,1.8,1.5,3.3,0.16,2.7,3,5.7,36,"http://www.sports-reference.com/cbb/schools/florida/2016.html","http://www.sports-reference.com/cbb/conferences/sec/2016.html",2016
"Devin Robinson",22.2,"Forward","2016-17",26.4,3.9,8.3,2.8,5.3,1.2,3.1,2,2.8,6.1,0.6,0.9,0.8,1.1,2.3,11.1,5.4,12.6,3.78,7.9,1.62,4.6,2.79,4.2,8.28,0.9,1.17,1.08,1.44,3.06,16.8,8.5,17.9,0.475,5.9,11.3,0.524,2.6,6.6,0.391,4.4,6,0.723,13.1,1.4,1.9,1.7,2.3,4.8,23.9,118.4,93.5,952,20.1,0.576,0.547,0.368,0.338,372,7.3,18.5,12.9,4.8,1.9,3,10.1,20,2.3,2.1,4.5,0.187,4.4,4.7,9.1,36,"http://www.sports-reference.com/cbb/schools/florida/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
"Cameron Oliver",20.8,"Forward","2015-16",29.4,5.3,10.4,4.7,8.8,0.5,1.6,2.3,3.5,9.1,0.8,0.6,2.6,2.1,3.1,13.4,6.48,14.1,5.76,11.9,0.63,2.2,2.88,4.8,11.07,0.99,0.72,3.15,2.52,3.78,18.2,9.9,19.5,0.506,8.9,16.5,0.539,1,3,0.328,4.4,6.6,0.664,17,1.5,1.1,4.9,3.9,5.7,25.1,107.1,93.7,1118,22,0.555,0.532,0.154,0.339,480,9.8,21.8,16,6,1.1,9,14.7,22.9,1.9,2.5,4.3,0.155,-0.8,4.5,3.7,38,"http://www.sports-reference.com/cbb/schools/nevada/2016.html","http://www.sports-reference.com/cbb/conferences/mwc/2016.html",2016
"Cameron Oliver",20.8,"Forward","2016-17",31.9,5.8,12.4,3.9,7.5,1.9,4.9,2.6,3.7,8.7,1.8,0.8,2.6,2.4,2.9,16,6.48,15.6,4.41,9.4,2.16,6.2,2.88,4.7,9.81,2.07,0.9,2.97,2.7,3.24,20.1,10.2,21.9,0.465,6.9,13.2,0.519,3.3,8.7,0.384,4.5,6.6,0.692,15.4,3.2,1.5,4.6,4.2,5.1,28.3,108,94.7,1115,22.6,0.565,0.541,0.396,0.3,510,5.6,23.8,14.8,11.9,1.5,8.3,14.3,25.4,2.1,2.4,4.5,0.162,1.9,5.1,6.9,35,"http://www.sports-reference.com/cbb/schools/nevada/2017.html","http://www.sports-reference.com/cbb/conferences/mwc/2017.html",2017
"VJ Beachem",22.3,"Forward","2013-14",8.4,0.9,2.7,0.4,1.1,0.4,1.6,0.3,0.4,0.7,0.3,0.2,0.1,0.3,0.5,2.4,3.6,12.6,1.89,5.3,1.71,7.4,1.08,1.8,2.97,1.08,0.81,0.36,1.08,2.25,11.2,6.3,19.7,0.319,3.3,8.2,0.4,3,11.5,0.262,1.9,2.7,0.7,5.2,1.9,1.4,0.5,1.9,3.8,17.5,92.4,114.2,228,7.6,0.417,0.396,0.583,0.139,60,3.7,6.5,5.1,5.7,1.4,1,8.4,19.7,0,0.1,0.1,0.017,-1.4,-2.2,-3.6,27,"http://www.sports-reference.com/cbb/schools/notre-dame/2014.html","http://www.sports-reference.com/cbb/conferences/acc/2014.html",2014
"VJ Beachem",22.3,"Forward","2014-15",14.6,2,4.4,0.7,1.3,1.3,3.1,0.7,0.9,1.4,0.5,0.2,0.2,0.5,0.8,5.9,4.95,12,1.8,3.6,3.15,8.4,1.62,2.4,3.51,1.08,0.63,0.63,1.35,2.07,16.2,8.6,18.8,0.455,3.1,5.7,0.545,5.5,13.1,0.416,2.9,3.8,0.759,6.1,1.9,1,1,2.3,3.6,25.5,118.5,107.5,483,17.5,0.617,0.6,0.697,0.2,167,2.9,8.7,6.1,5.7,1,1.7,10.2,20.4,1.2,0.4,1.6,0.133,5.5,-1.6,3.9,33,"http://www.sports-reference.com/cbb/schools/notre-dame/2015.html","http://www.sports-reference.com/cbb/conferences/acc/2015.html",2015
"VJ Beachem",22.3,"Forward","2015-16",31.3,4.4,9.3,2,3.8,2.4,5.5,0.8,1.3,3.9,0.8,0.8,0.8,0.9,1.7,12,5.04,11.9,2.25,4.8,2.79,7,0.9,1.7,4.41,0.9,0.9,0.99,0.99,1.89,15.4,8.7,18.3,0.476,3.9,7.4,0.522,4.8,10.8,0.444,1.5,2.6,0.574,7.6,1.5,1.6,1.6,1.7,3.3,23.7,122.4,110.8,1126,18.1,0.608,0.608,0.593,0.141,365,2.9,11.1,7.2,4.7,1.6,2.7,8,18.3,2.7,0.7,3.4,0.122,5.7,1.1,6.9,36,"http://www.sports-reference.com/cbb/schools/notre-dame/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"VJ Beachem",22.3,"Forward","2016-17",34.2,5.2,12.3,2.8,5.6,2.4,6.7,1.7,2,4.1,0.9,0.9,1.1,1.1,1.3,14.5,5.49,14.4,2.97,6.6,2.52,7.8,1.8,2.4,4.23,0.9,0.99,1.08,1.17,1.35,17,9,21.2,0.422,4.8,9.7,0.495,4.2,11.6,0.361,2.9,3.5,0.836,7,1.5,1.6,1.8,1.9,2.2,25,108.8,105,1230,16.8,0.546,0.52,0.544,0.165,443,2.2,11.4,6.9,4.8,1.6,3.2,7.7,21.9,2,1.4,3.4,0.112,3.1,2,5.1,36,"http://www.sports-reference.com/cbb/schools/notre-dame/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Keita Bates-Diop",21.3,"Forward","2014-15",9.9,1.3,2.8,0.8,1.6,0.5,1.2,0.6,0.8,2.1,0.5,0.3,0.6,0.4,0.7,3.8,4.86,11.4,2.88,6.6,1.98,4.8,2.07,3.4,7.47,1.89,1.17,2.07,1.44,2.61,15.3,8.2,17.2,0.473,4.8,10,0.481,3.3,7.2,0.462,3.5,5.2,0.679,12.6,3.2,2,3.5,2.4,4.4,23.2,119.7,91.8,327,21.6,0.588,0.57,0.419,0.301,115,4.9,18.9,12.2,9.5,2,6.7,10.9,18.9,0.8,0.7,1.6,0.193,3.5,4.9,8.4,33,"http://www.sports-reference.com/cbb/schools/ohio-state/2015.html","http://www.sports-reference.com/cbb/conferences/big-ten/2015.html",2015
"Keita Bates-Diop",21.3,"Forward","2015-16",31.5,4.3,9.4,3.2,6.1,1.1,3.4,2.1,2.7,6.4,1.1,0.7,1.2,1.4,1.8,11.8,4.86,12,3.6,7.7,1.26,4.3,2.43,3.4,7.29,1.26,0.81,1.44,1.53,2.07,14.9,8,17.7,0.453,6,11.4,0.525,2,6.3,0.324,4,5.1,0.787,11.9,2,1.4,2.3,2.6,3.5,22.1,111.5,98.8,1040,18.1,0.549,0.511,0.357,0.286,363,5.1,16.5,11,7.2,1.4,4.3,11.3,19.5,1.9,1.8,3.7,0.141,2.3,3.6,6,33,"http://www.sports-reference.com/cbb/schools/ohio-state/2016.html","http://www.sports-reference.com/cbb/conferences/big-ten/2016.html",2016
"Keita Bates-Diop",21.3,"Forward","2016-17",23.3,4.1,8.2,3.8,6.6,0.3,1.7,1.1,1.6,5.2,1.3,0.2,1.3,1.6,1.4,9.7,6.3,14.1,5.85,11.2,0.54,2.9,1.71,2.7,8.1,2.07,0.36,2.07,2.43,2.25,16.6,10.3,20.5,0.5,9.4,16.4,0.576,0.8,4.2,0.2,2.8,3.9,0.714,13,3.3,0.6,3.3,3.9,3.6,24.1,104.1,100.5,210,18.8,0.539,0.52,0.203,0.189,82,6.7,17.6,12.5,12.2,0.6,6.5,14.8,22.9,0.3,0.3,0.6,0.117,0.7,3.8,4.5,9,"http://www.sports-reference.com/cbb/schools/ohio-state/2017.html","http://www.sports-reference.com/cbb/conferences/big-ten/2017.html",2017
"Shake Milton",20.6,"Guard","2015-16",32.7,3.8,7.9,2,3.8,1.7,4.1,1.2,1.7,3,2.7,0.8,0.3,1.5,1.4,10.5,4.14,9.7,2.25,4.7,1.89,5,1.35,2.1,3.24,2.97,0.9,0.27,1.71,1.62,12.9,7,14.6,0.477,3.8,7.1,0.53,3.2,7.5,0.426,2.3,3.2,0.725,5.5,5.1,1.5,0.5,2.8,2.7,19.5,120.8,101.4,980,14.6,0.603,0.586,0.515,0.215,291,1.1,8.9,5.3,14,1.5,1,15,15.8,2.1,1.5,3.5,0.144,4.5,1.2,5.7,30,"http://www.sports-reference.com/cbb/schools/southern-methodist/2016.html","http://www.sports-reference.com/cbb/conferences/aac/2016.html",2016
"Shake Milton",20.6,"Guard","2016-17",35.4,4.3,9.9,2,4.4,2.3,5.5,2,2.6,4.1,4.5,1.2,0.3,1.8,1.5,13,4.41,11.2,2.07,5,2.34,6.3,1.98,2.9,4.14,4.59,1.26,0.36,1.8,1.53,14.7,7.7,17.6,0.437,3.5,7.8,0.455,4.2,9.8,0.423,3.5,4.6,0.758,7.3,8,2.2,0.6,3.2,2.7,23.1,122.4,96.6,1239,19.1,0.582,0.555,0.557,0.261,459,1.5,11.7,6.9,23.9,2.2,1.2,13.9,19.4,3.5,2.4,5.9,0.192,5.6,2.3,7.9,35,"http://www.sports-reference.com/cbb/schools/southern-methodist/2017.html","http://www.sports-reference.com/cbb/conferences/aac/2017.html",2017
"Kobi Simmons",19.8,"Guard","2016-17",23.5,3,7.6,2.2,5,0.9,2.6,1.9,2.4,1.6,2,0.6,0.1,1.2,1.9,8.8,4.59,13,3.33,8.5,1.35,4.5,2.88,4.1,2.52,3.06,0.99,0.09,1.89,2.88,14.9,7.6,19.2,0.397,5.5,12.6,0.435,2.2,6.7,0.327,4.7,6.1,0.775,4.1,5,1.6,0.2,3.1,4.8,22.2,106.2,103.6,871,12.9,0.501,0.454,0.348,0.316,320,1.9,6.1,4.1,15.8,1.6,0.4,12.4,22,1.3,1.1,2.4,0.111,1.5,1,2.6,37,"http://www.sports-reference.com/cbb/schools/arizona/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Frank Jackson",19,"Guard","2016-17",24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,2.5,1.7,0.6,0.1,1.4,2.4,10.9,5.31,12.6,3.33,6.7,2.07,5.8,3.06,4.6,3.69,2.43,0.81,0.09,1.98,3.42,17.6,8.5,18,0.473,5.2,9.7,0.543,3.3,8.3,0.392,4.9,6.5,0.755,5.8,3.9,1.3,0.1,3.1,5.4,25.2,119,106.2,895,17.1,0.598,0.564,0.463,0.363,371,3.1,8.3,5.8,12.6,1.3,0.2,12.9,21.1,2.4,0.9,3.3,0.148,5.1,0.2,5.3,36,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Nigel Hayes",22.4,"Forward","2013-14",17.4,2.6,5.1,2.6,5.1,0,0,2.5,4.3,2.8,0.9,0.8,0.5,1.2,2.6,7.7,5.31,11.6,5.31,11.6,0,0,5.22,9.9,5.76,1.98,1.71,1.08,2.43,5.4,17.6,9.3,18.3,0.51,9.3,18.3,0.51,0,0,NA,9.1,15.6,0.585,10.1,3.4,3,1.9,4.3,9.4,27.8,106.9,98.5,663,19.6,0.541,0.51,0,0.854,287,6.5,12.9,9.8,11.8,3,2.9,14.3,26.5,1.2,1.2,2.4,0.146,1.1,3.9,5,38,"http://www.sports-reference.com/cbb/schools/wisconsin/2014.html","http://www.sports-reference.com/cbb/conferences/big-ten/2014.html",2014
"Nigel Hayes",22.4,"Forward","2014-15",33,4.2,8.4,3.2,5.8,1,2.5,3.1,4.2,6.2,2,0.9,0.4,1.3,1.9,12.4,4.5,10.1,3.42,7.1,1.08,3.1,3.42,5.1,6.75,2.16,0.9,0.45,1.35,2.07,15.1,8.5,17,0.497,6.4,11.9,0.541,2,5.2,0.396,6.4,8.6,0.744,12.6,4,1.7,0.8,2.6,3.9,25.3,127.7,98.3,1319,23.1,0.601,0.557,0.302,0.503,510,8.7,15.8,12.3,11.9,1.7,1.3,11,20.4,4.9,2.2,7.1,0.216,7.6,3.6,11.2,40,"http://www.sports-reference.com/cbb/schools/wisconsin/2015.html","http://www.sports-reference.com/cbb/conferences/big-ten/2015.html",2015
"Nigel Hayes",22.4,"Forward","2015-16",36.2,4.6,12.5,3.5,8.7,1.1,3.8,5.4,7.4,5.8,3,1.1,0.4,2.3,2,15.7,4.59,13.8,3.51,9.6,1.08,4.2,5.4,8.1,5.76,2.97,1.08,0.36,2.25,1.98,17.4,7.9,21.6,0.368,6,15,0.4,1.9,6.5,0.293,9.4,12.7,0.736,10,5.1,1.9,0.7,3.9,3.5,27.1,107,101.1,1267,18.6,0.491,0.412,0.304,0.589,565,6.4,13.1,9.7,18.2,1.9,1.2,12.4,26.9,2.5,1.9,4.4,0.14,3,2.9,6,35,"http://www.sports-reference.com/cbb/schools/wisconsin/2016.html","http://www.sports-reference.com/cbb/conferences/big-ten/2016.html",2016
"Nigel Hayes",22.4,"Forward","2016-17",32.2,4.9,10.6,4.3,8.8,0.6,1.9,3.6,6.2,6.6,2.7,0.8,0.4,1.7,1.8,14,5.49,13.2,4.77,10.9,0.63,2.4,4.05,7.7,7.38,3.06,0.81,0.45,1.89,2.07,17.4,9.4,20.5,0.457,8.2,16.9,0.488,1.1,3.6,0.314,7,12,0.587,12.7,5.2,1.5,0.7,3.3,3.5,26.9,112.7,97.9,1190,20.7,0.514,0.485,0.178,0.584,530,8.1,16.6,12.3,16.9,1.5,1.3,11.1,24.8,3,2.2,5.2,0.174,3.4,3.6,7,37,"http://www.sports-reference.com/cbb/schools/wisconsin/2017.html","http://www.sports-reference.com/cbb/conferences/big-ten/2017.html",2017
"Chris Boucher",24.3,"Forward","2015-16",25.8,4.2,7.8,3.2,4.7,1,3,2.7,3.9,7.4,0.4,0.8,2.9,1.1,2.7,12.1,5.85,12,4.41,7.3,1.44,4.7,3.78,6.1,10.26,0.54,1.08,4.05,1.62,3.78,18.7,9.3,17.3,0.539,7,10.5,0.667,2.3,6.7,0.339,6,8.7,0.685,16.4,0.9,1.8,6.4,2.5,6,26.9,128.5,93.5,981,27.9,0.627,0.605,0.39,0.505,432,12.5,20.3,16.5,2.9,1.8,11.8,10.5,20.6,3.4,2.2,5.6,0.23,5.5,6,11.5,38,"http://www.sports-reference.com/cbb/schools/oregon/2016.html","http://www.sports-reference.com/cbb/conferences/pac-12/2016.html",2016
"Chris Boucher",24.3,"Forward","2016-17",23.6,4.5,8.7,3.4,5.4,1.2,3.3,1.5,2.7,6.1,0.4,0.4,2.5,1,2.7,11.8,6.93,14.7,5.13,9.1,1.8,5.6,2.34,4.7,9.27,0.63,0.63,3.87,1.62,4.05,20,11.2,21.4,0.524,8.3,13.2,0.633,2.9,8.2,0.35,3.8,6.7,0.565,14.9,1,1,6.3,2.5,6.6,29.1,118,91.7,731,25.3,0.592,0.591,0.383,0.316,318,9.1,20,14.9,3.5,1,11.8,9.4,23.6,2,1.8,3.8,0.206,2.9,5.7,8.6,31,"http://www.sports-reference.com/cbb/schools/oregon/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Kyle Kuzma",21.8,"Forward","2014-15",8.1,1.2,2.5,0.8,1.5,0.4,1.1,0.6,1.2,1.8,0.6,0,0.2,0.6,1,3.3,5.13,12.5,3.6,7.1,1.53,5.4,2.88,5.7,7.83,2.7,0.18,0.72,2.61,4.59,16.3,9.1,20,0.456,6.3,11.4,0.556,2.8,8.6,0.324,5.1,9.1,0.556,13.9,4.8,0.3,1.3,4.6,8.1,26.1,104.9,92.9,252,16.5,0.536,0.525,0.43,0.456,100,5.5,20.5,13.7,16.3,0.3,2.2,15.8,25.2,0.4,0.5,1,0.157,1.8,2.3,4.1,31,"http://www.sports-reference.com/cbb/schools/utah/2015.html","http://www.sports-reference.com/cbb/conferences/pac-12/2015.html",2015
"Kyle Kuzma",21.8,"Forward","2015-16",24.1,4.3,8.2,3.9,6.8,0.4,1.4,1.8,3,5.7,1.4,0.3,0.4,2,2,10.8,6.39,13.6,5.85,11.3,0.54,2.4,2.7,5,8.55,2.16,0.54,0.63,2.97,3.06,17.9,10.5,20.1,0.522,9.6,16.6,0.578,0.9,3.5,0.255,4.5,7.4,0.611,14,3.5,0.8,1.1,4.8,5,26.4,106.1,103.2,867,18.4,0.559,0.544,0.173,0.366,379,9.4,17.6,13.8,12,0.8,1.8,17,25,1.5,1.2,2.6,0.122,1.4,1.5,2.8,36,"http://www.sports-reference.com/cbb/schools/utah/2016.html","http://www.sports-reference.com/cbb/conferences/pac-12/2016.html",2016
