"link","Player","VORP","G","MP","draftYear","Amateur","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"https://www.basketball-reference.com/players/o/olajuha01.html","Hakeem Olajuwon",77.1,"1238","44222",1984,"College",21.3616438356164,"Center","1982-83",9.2,0.611,NA,NA,NA,NA,2.6,0.595,11.4,NA,NA,1.4,5.1,2.3,3.3,13.9,37,NA,34.1,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932,NA,0.614,NA,NA,0.471,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,"http://www.sports-reference.com/cbb/schools/houston/1983.html","http://www.sports-reference.com/cbb/conferences/swc/1983.html",1983
"https://www.basketball-reference.com/players/o/olajuha01.html","Hakeem Olajuwon",77.1,"1238","44222",1984,"College",21.3616438356164,"Center","1983-84",NA,NA,NA,NA,NA,6.3,0.526,1.3,1.6,NA,NA,1.6,3.2,16.8,NA,7.49,NA,4.97,NA,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,13.5,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,NA,0.647,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"http://www.sports-reference.com/cbb/schools/houston/1984.html","http://www.sports-reference.com/cbb/conferences/swc/1984.html",1984
"https://www.basketball-reference.com/players/d/drexlcl01.html","Clyde Drexler",75.6,"1086","37537",1983,"College",20.0575342465753,"Shooting Guard","1980-81",33.1,5.1,10.1,NA,NA,NA,NA,1.7,2.8,NA,NA,10.5,2.6,1.9,0.9,1.9,3.6,11.9,32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,992,NA,0.518,NA,NA,0.281,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"http://www.sports-reference.com/cbb/schools/houston/1981.html","http://www.sports-reference.com/cbb/conferences/swc/1981.html",1981
"https://www.basketball-reference.com/players/d/drexlcl01.html","Clyde Drexler",75.6,"1086","37537",1983,"College",20.0575342465753,"Shooting Guard","1981-82",11.3,0.569,NA,NA,NA,NA,2.3,0.608,10.5,NA,NA,3,1.1,2.9,3.3,15.2,34,NA,34.9,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,NA,0.579,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,"http://www.sports-reference.com/cbb/schools/houston/1982.html","http://www.sports-reference.com/cbb/conferences/swc/1982.html",1982
"https://www.basketball-reference.com/players/d/drexlcl01.html","Clyde Drexler",75.6,"1086","37537",1983,"College",20.0575342465753,"Shooting Guard","1982-83",NA,NA,NA,NA,NA,2.8,0.737,3.8,3.3,NA,NA,2.7,3.1,15.9,NA,2.48,NA,7.49,NA,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,8.8,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186,NA,0.559,NA,NA,0.216,NA,NA,NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,"http://www.sports-reference.com/cbb/schools/houston/1983.html","http://www.sports-reference.com/cbb/conferences/swc/1983.html",1983
"https://www.basketball-reference.com/players/o/onealsh01.html","Shaquille O'Neal",74,"1207","41918",1992,"College",20.2383561643836,"Center","1989-90",28.2,5.6,9.8,5.6,9.8,0,0,2.7,4.8,NA,NA,12,1.9,1.2,3.6,2.9,3.8,13.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573,NA,NA,0.573,NA,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901,NA,0.575,0.573,0,0.487,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"http://www.sports-reference.com/cbb/schools/louisiana-state/1990.html","http://www.sports-reference.com/cbb/conferences/sec/1990.html",1990
"https://www.basketball-reference.com/players/o/onealsh01.html","Shaquille O'Neal",74,"1207","41918",1992,"College",20.2383561643836,"Center","1990-91",17.8,0.628,11.1,0.628,0,NA,5.4,0.638,NA,14.7,1.6,1.5,5,3.5,2.8,27.6,30,NA,32,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,0,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881,NA,0.636,0.628,0,0.473,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,"http://www.sports-reference.com/cbb/schools/louisiana-state/1991.html","http://www.sports-reference.com/cbb/conferences/sec/1991.html",1991
"https://www.basketball-reference.com/players/o/onealsh01.html","Shaquille O'Neal",74,"1207","41918",1992,"College",20.2383561643836,"Center","1991-92",9.8,15.9,0.615,0,NA,8.5,0.528,NA,14,1,5.2,3.4,2.9,24.1,NA,7.61,NA,8.97,NA,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4.5,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959,NA,0.603,0.615,0,0.531,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,"http://www.sports-reference.com/cbb/schools/louisiana-state/1992.html","http://www.sports-reference.com/cbb/conferences/sec/1992.html",1992
"https://www.basketball-reference.com/players/p/paulch01.html","Chris Paul",71.7,"835","29679",2005,"College",20.0712328767123,"Point Guard","2003-04",33.6,4.4,8.8,3.1,6,1.3,2.8,4.8,5.7,0.7,2.6,3.3,5.9,2.7,0.4,2.6,2.6,14.8,32,31,5.2,9.45,3.7,6.39,1.5,2.97,5.8,6.12,3.51,6.3,2.88,0.45,2.88,3.1,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645,0.57,0.316,0.654,NA,NA,NA,5.6,30.8,NA,0.8,18.7,19.6,NA,3.4,1.4,4.8,0.184,NA,NA,NA,NA,31,"http://www.sports-reference.com/cbb/schools/wake-forest/2004.html","http://www.sports-reference.com/cbb/conferences/acc/2004.html",2004
"https://www.basketball-reference.com/players/p/paulch01.html","Chris Paul",71.7,"835","29679",2005,"College",20.0712328767123,"Point Guard","2004-05",9.9,0.451,3,0.441,1.4,0.474,4.9,0.834,0.7,4.5,6.6,2.4,0,2.8,2.6,15.3,NA,11.03,NA,10.27,5.4,10.71,3.6,7.38,1.7,3.24,5.8,6.3,4.86,7.11,2.52,0,2.97,3.1,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,0.524,0.306,0.59,NA,NA,NA,7.5,33.8,NA,0.1,18,21.5,NA,2.9,1.6,4.6,0.171,NA,NA,NA,NA,33.4,"http://www.sports-reference.com/cbb/schools/wake-forest/2005.html","http://www.sports-reference.com/cbb/conferences/acc/2005.html",2005
